学校,官网,招生网
江西财经大学,http://www.jxufe.cn,http://zsjy.jxufe.edu.cn/zs/
广东工业大学,http://www.gdut.edu.cn,http://zsb.gdut.edu.cn/
东北师范大学,http://www.nenu.edu.cn/,http://zsb.nenu.edu.cn/
广西大学,http://www.gxu.edu.cn,http://zs.gxu.edu.cn/
山东科技大学,http://www.sdust.edu.cn/,http://zs.sdkd.net.cn/
中国政法大学,http://www.cupl.edu.cn,http://web.cupl.edu.cn/zs/
杭州师范大学,http://www.hznu.edu.cn,http://bkzs.hznu.edu.cn/index.action
中国人民公安大学,http://www.cppsu.edu.cn,http://www.cppsu.edu.cn/list.cfm?borderid=238
山东理工大学,http://www.sdut.edu.cn,http://zszx.sdut.edu.cn:81/
广东财经大学,http://www.gdcc.edu.cn,http://zsb.gdufe.edu.cn/
天津商业大学,http://zs.tjcu.edu.cn,http://zs.tjcu.edu.cn/
天津工业大学,http://www.tjpu.edu.cn,http://zsb.tjpu.edu.cn/
河海大学,http://www.hhu.edu.cn,http://sea.hhu.edu.cn/zsw/
西安电子科技大学,http://www.xidian.edu.cn,http://zsb.xidian.edu.cn/index.html
华北电力大学(北京),http://www.ncepu.edu.cn,
西安理工大学,http://www.xaut.edu.cn/,http://zhaosheng.xaut.edu.cn/
重庆理工大学,http://www.cqit.edu.cn,http://zs.cqut.edu.cn/Index.aspx
西南石油大学,http://www.swpu.edu.cn,http://zsb.swpu.edu.cn/index.html
云南大学,http://www.ynu.edu.cn/,http://zsb.ynu.edu.cn/
昆明理工大学,http://www.kmust.edu.cn/,http://www.kmust.edu.cn/html/rcpy/zsxx/1.html
中国传媒大学,http://www.cuc.edu.cn,http://zhaosheng.cuc.edu.cn/wsm/Default.aspx
河北地质大学,http://www.sjzue.edu.cn,
西安财经学院,http://www.xaufe.edu.cn/,http://zhaosheng.xaufe.edu.cn/
泰山学院,http://www.tsu.edu.cn,http://sec.tsu.edu.cn/www/zhaosheng/
北京科技大学,http://www.ustb.edu.cn,http://zhaosheng.ustb.edu.cn/
浙江师范大学,http://www.zjnu.edu.cn,http://zs.zjnu.edu.cn/
南华大学,http://www.usc.edu.cn,http://zsw.usc.edu.cn/
湘潭大学,http://www.xtu.edu.cn,http://zhaosh.xtu.edu.cn/
扬州大学,http://www.yzu.edu.cn,http://zhaoban.yzu.edu.cn/
华侨大学,http://www.hqu.edu.cn,http://www.hqu.edu.cn/zsxx/
哈尔滨理工大学,http://www.hrbust.edu.cn,http://zs.hrbust.edu.cn/
上海海事大学,http://www.shmtu.edu.cn,http://www.shmtu.edu.cn/admission
西交利物浦大学,http://www.xjtlu.edu.cn,http://www.xjtlu.edu.cn/cn/admission/undergraduate
上海外国语大学,http://www.shisu.edu.cn,http://admissions.shisu.edu.cn/
天津医科大学,http://www.tijmu.edu.cn/,http://web.tmu.edu.cn/cn/jwch/recruit/index.htm
成都中医药大学,http://www.cdutcm.edu.cn,http://210.41.222.150/zsjy/
四川外国语大学,http://www.sisu.edu.cn,http://zsb.sisu.edu.cn/
上海师范大学,http://www.shnu.edu.cn,http://ssdzsb.shnu.edu.cn/ssdzsb.html
西南科技大学,http://www.swust.edu.cn,http://zs.swust.edu.cn/
河南大学,http://www.henu.edu.cn,http://zs.henu.edu.cn/NCPortal/portal/guest/index;
东华大学,http://www.dhu.edu.cn,http://zs.dhu.edu.cn
南京师范大学,http://www.njnu.edu.cn,http://bkzs.njnu.edu.cn/
南京航空航天大学,http://www.nuaa.edu.cn,http://zs.nuaa.edu.cn/
重庆师范大学,http://www.cqnu.edu.cn,http://zsb.cqnu.edu.cn/
青岛科技大学,http://www.qust.edu.cn/,http://zs.qust.edu.cn/
重庆邮电大学,http://zs.cqupt.edu.cn,http://zs.cqupt.edu.cn/
温州医科大学,http://www.wzmc.edu.cn,http://zhaosheng.wmu.edu.cn/
西南民族大学,http://www.swun.cn,http://222.210.17.165/index.asp
福建师范大学,http://www.fjnu.edu.cn,http://zsb.fjnu.edu.cn/
吉林财经大学,http://www.jlufe.edu.cn,http://zsb.jlufe.edu.cn/
沈阳理工大学,http://www.sylu.edu.cn,http://www.24686088.com/plus/list.php?tid=15
北京工商大学,http://www.btbu.edu.cn,http://zsb.btbu.edu.cn/
天津师范大学,http://www.tjnu.edu.cn,http://www.tjnuzsb.com/
中国药科大学,http://www.cpu.edu.cn,http://zb.cpu.edu.cn/
华中师范大学,http://www.ccnu.edu.cn,http://zs.ccnu.edu.cn/zs2013/
长治医学院,http://www.czmc.com,http://zsjy.czmc.com/
首都经济贸易大学,http://www.cueb.edu.cn,http://zs.cueb.edu.cn/zs/default.aspx
华南师范大学,http://www.scnu.edu.cn,http://zsb.scnu.edu.cn/zsbv6/index.htm
西安科技大学,http://zs.xust.edu.cn/,http://zs.xust.edu.cn/
安徽中医药大学,http://www.ahtcm.edu.cn,http://zsjy.ahtcm.edu.cn/zs.asp
长春理工大学,http://www.cust.edu.cn,http://zsb.cust.edu.cn/
上海商学院,http://www.sbs.edu.cn,http://zsw.sbs.edu.cn/
云南财经大学,http://www.ynufe.edu.cn/,http://202.203.192.67:8080/zsweb/
西安外国语大学,http://www.xisu.edu.cn/,http://www.xisu.cn:8080/zhaosh/
黑龙江大学,http://www.hlju.edu.cn,http://zsb.hlju.edu.cn/
四川理工学院,http://www.suse.edu.cn,http://61.139.105.132/zb/
中国农业大学,http://www.cau.edu.cn,http://jwzs.cau.edu.cn/index.html
广东金融学院,http://www.gduf.edu.cn,http://zsjy.gduf.edu.cn/zs/
山东师范大学,http://www.sdnu.edu.cn,http://www.zsb.sdnu.edu.cn/
广西财经学院,http://www.gxufe.cn,http://zsjy.gxufe.cn/zsindex.php
太原理工大学,http://www.tyut.edu.cn,http://zsb.tyut.edu.cn/index.html?strID=49?strID=4
华东政法大学,http://www.ecupl.edu.cn,http://zsb.ecupl.edu.cn/
上海立信会计金融学院,http://www.lixin.edu.cn,
沈阳工业大学,http://www.sut.edu.cn,http://zsnet.sut.edu.cn/admissions/index.jsp
西北政法大学,http://www.nwupl.edu.cn/,http://zsjy.nwupl.cn/
湖南商学院,http://www.hnuc.edu.cn,http://admi.hnuc.edu.cn/
陕西师范大学,http://www.snnu.edu.cn/,http://zsb.snnu.edu.cn/
西安石油大学,http://www.xsyu.edu.cn/,http://cms.xsyu.edu.cn/zb/index.htm
华东交通大学,http://www.ecjtu.jx.cn,http://zjb.ecjtu.jx.cn/
合肥工业大学,http://www.hfut.edu.cn,http://bkzs.hfut.edu.cn/
福建工程学院,http://www.fjut.edu.cn,http://join.fjut.edu.cn/
大连医科大学,http://www.dlmedu.edu.cn,http://dyjob.gotoip4.com/indexj.php
中南民族大学,http://www.scuec.edu.cn,http://zsb.scuec.edu.cn/
嘉兴学院,http://www.zjxu.edu.cn,http://zsb.zjxu.edu.cn/
南方医科大学,http://www.fimmu.com,http://portal1.smu.edu.cn/zs/
安徽大学,http://www.ahu.edu.cn,http://zsb.ahu.edu.cn/
鲁东大学,http://www.ldu.edu.cn,http://www.zs.ldu.edu.cn/
中国医科大学,http://www.cmu.edu.cn,http://www.cmu.edu.cn/zs/
北华大学,http://www.beihua.edu.cn/,http://www.beihua.edu.cn/html/zhaoshengjiuye/
河南理工大学,http://www.hpu.edu.cn,http://zhaosheng.hpu.edu.cn/
湖南工业大学,http://www.hut.edu.cn,http://zsb.hut.edu.cn/
武汉科技大学,http://www.wust.edu.cn,http://zs.wust.edu.cn/BK/
桂林电子科技大学,http://www.gliet.edu.cn,http://zs.myclub2.com/
中国地质大学(武汉),http://www.cug.edu.cn,http://zhaosheng.cug.edu.cn/
江西理工大学,http://www.jxust.cn,http://zsjy.jxust.cn/
南京工业大学,http://www.njut.edu.cn,http://zhaosheng.njtech.edu.cn/
渤海大学,http://www.bhu.edu.cn,http://210.47.176.3/page/depart/zsxx/benke/
河南科技大学,http://www.haust.edu.cn,http://zjc.haust.edu.cn/zhaosheng/
山东建筑大学,http://www.sdjzu.edu.cn/index.php,http://zsb.sdjzu.edu.cn:8083/zsonline/index.jsp
大连民族大学,http://www.dlnu.edu.cn,http://zs.dlnu.edu.cn/
福建农林大学,http://www.fafu.edu.cn,http://210.34.80.109/zsb/
哈尔滨商业大学,http://www.hrbcu.edu.cn,http://www.hrbcu.edu.cn/Category/11/40/index.aspx
中央民族大学,http://www.muc.edu.cn,http://zb.muc.edu.cn/
